iter	Passed	Remaining
0	8	852
1	14	697
2	19	640
3	22	544
4	26	497
5	29	457
6	32	437
7	36	418
8	39	397
9	42	384
10	45	371
11	50	372
12	54	362
13	57	351
14	60	342
15	66	348
16	70	344
17	73	336
18	79	339
19	87	349
20	91	345
21	100	356
22	107	361
23	113	359
24	117	353
25	120	344
26	128	346
27	133	344
28	137	337
29	141	330
30	145	323
31	148	314
32	151	307
33	156	303
34	160	297
35	163	289
36	166	284
37	174	285
38	178	278
39	181	271
40	186	267
41	188	259
42	190	252
43	193	246
44	200	245
45	205	241
46	208	235
47	212	229
48	220	229
49	225	225
50	230	221
51	237	219
52	248	220
53	253	215
54	262	214
55	270	212
56	285	215
57	289	209
58	295	205
59	299	199
60	305	195
61	311	190
62	316	186
63	320	180
64	326	175
65	331	170
66	336	165
67	342	161
68	347	156
69	356	152
70	361	147
71	365	142
72	371	137
73	377	132
74	381	127
75	388	122
76	391	117
77	395	111
78	404	107
79	409	102
80	414	97
81	420	92
82	426	87
83	434	82
84	438	77
85	441	71
86	447	66
87	451	61
88	455	56
89	464	51
90	468	46
91	473	41
92	481	36
93	490	31
94	497	26
95	501	20
96	505	15
97	509	10
98	512	5
99	515	0
